REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,HABITAT_CD,STRAT,RUG_STRAT,DEPTH_STRAT,LAT_DEGREES,LON_DEGREES,MAPGRID_NR
SEFCRI,3260,1,2022,6,27,APRD,PTDP1,NA,NA,26.29732,-80.05926,1299103
SEFCRI,3261,1,2022,9,15,APRD,PTDP0,NA,NA,26.65318,-80.01747,782252
SEFCRI,3262,1,2022,9,15,APRD,PTDP0,NA,NA,26.64076,-80.01874,799962
SEFCRI,3263,1,2022,8,9,PTCH,PTSH2,NA,NA,26.72376,-80.01807,679258
SEFCRI,3264,1,2022,8,10,PTCH,PTSH2,NA,NA,26.72425,-80.01789,678602
SEFCRI,3269,1,2022,6,23,APRD,PTDP1,NA,NA,25.78499,-80.08603,2044273
SEFCRI,3271,1,2022,7,22,SPGR,OFFR1,NA,NA,25.84458,-80.0865,1957679
SEFCRI,3273,1,2022,6,29,APRD,PTDP1,NA,NA,26.20817,-80.06941,1428972
SEFCRI,3275,1,2022,6,21,APRD,PTDP1,NA,NA,26.12355,-80.07977,1552281
SEFCRI,3277,1,2022,6,13,APRD,PTDP1,NA,NA,26.3531,-80.05419,1218424
SEFCRI,3279,1,2022,6,27,APRD,PTDP1,NA,NA,26.32908,-80.05661,1253188
SEFCRI,3280,1,2022,7,20,APRD,PTDP1,NA,NA,26.29405,-80.06026,1304349
SEFCRI,3281,1,2022,9,15,APRD,PTDP1,NA,NA,26.61788,-80.02062,833414
SEFCRI,3282,1,2022,7,11,SPGR,OFFR1,NA,NA,26.39654,-80.05188,1155452
SEFCRI,3285,1,2022,8,10,PTCH,PTDP0,NA,NA,26.82517,-80.01622,532316
SEFCRI,3288,1,2022,8,8,SCRS,PTSH2,NA,NA,25.76295,-80.12521,2076339
SEFCRI,3290,1,2022,6,14,PTCH,PTSH2,NA,NA,25.8772,-80.1018,1910416
