REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,HABITAT_CD,STRAT,RUG_STRAT,DEPTH_STRAT,LAT_DEGREES,LON_DEGREES,MAPGRID_NR
Tortugas,2794,1,2022,9,11,CONT_HR,T09,R4,D3,24.64269,-82.95994,516707
Tortugas,2796,1,2022,9,11,ISOL_HR,T09,R4,D3,24.65623,-82.94596,563596
Tortugas,2797,1,2022,9,11,ISOL_HR,T09,R4,D3,24.65898,-82.93837,573035
Tortugas,2799,1,2022,9,11,ISOL_HR,T09,R4,D3,24.65519,-82.94346,560461
Tortugas,2800,1,2022,9,10,ISOL_HR,T05,R4,D2,24.62426,-82.91026,452079
Tortugas,3013,1,2022,9,14,CONT_HR,T02,R4,D1,24.66384,-82.87793,585664
Tortugas,3014,1,2022,9,14,ISOL_HR,T05,R4,D2,24.66233,-82.87546,581791
Tortugas,3015,1,2022,9,15,ISOL_HR,T02,R4,D1,24.6365,-82.81286,490651
Tortugas,3016,1,2022,9,16,ISOL_HR,T02,R4,D1,24.62351,-82.922,450529
Tortugas,3017,1,2022,9,16,ISOL_LR,T01,R1,D1,24.63164,-82.91106,478116
Tortugas,2681,1,2022,9,9,ISOL_HR,T05,R4,D2,24.64415,-82.85659,518470
Tortugas,2680,1,2022,9,9,ISOL_HR,T05,R4,D2,24.63934,-82.8591,501391
